번호,소관부처,사업수행기관,지원분야,공고명,신청시작일자,신청종료일자,등록일자,공고상세URL
1,광주광역시,직접수행,기타,[광주] 2026년 상반기 지역서점 인증 신청 접수 공고,2026-02-02,2026-02-12,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118215
2,조달청,한국조달연구원,기술,2026년 공공혁신수요기반 혁신제품 기술개발 사업 Scale-up형 신규지원 대상과제 공고,2026-02-09,2026-03-03,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118214
3,경기도,경기대진테크노파크,기술,[경기] 2026년 가구디자인창작공간운영사업 경기가구창작스튜디오 공동장비 활용 지원 참여기업 모집 공고,2026-02-03,2026-12-31,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118213
4,강원특별자치도,중소기업중앙회강원지역본부,내수,[강원] 2026년 우수 중소기업제품 홈쇼핑 입점지원 사업 신청 공고,2026-02-03,2026-02-26,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118212
5,산업통상부,한국산업기술진흥원,기술,2026년 중견중소기업상생형혁신도약사업 신규지원 공고,2026-02-03,2026-03-04,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118211
6,해양수산부,한국수산무역협회,금융,2026년 리스크안전망 구축 지원업체 모집 공고,2026-02-04,2026-12-31,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118210
7,중소벤처기업부,중소기업기술정보진흥원,인력,2026년 중소기업 연구인력지원사업 공고,2026-02-04,2026-12-31,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118209
8,대구광역시,지능형자동차부품진흥원,경영,[대구] 2026년 미래차 전환 종합지원센터 기업지원 사업 수혜기업 모집 공고,2026-02-09,2026-03-03,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118208
9,인천광역시,직접수행,금융,[인천] 2026년 농어촌진흥기금 융자지원 사업계획 공고,2026-02-10,2026-09-30,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118207
10,산업통상부,전남대학교 산학협력단,기술,2026년 산업혁신기반구축사업 바이오인터페이싱 인체이식형 생체흡수성 의료기기 실증기반구축 수혜기업 모집 공고,2026-02-04,2026-02-28,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118206
11,광주광역시,직접수행,기타,[광주] 2026년 예비사회적기업 지정계획 공고 ,2026-02-02,2026-02-19,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118205
12,중소벤처기업부,한국여성경제인협회,경영,2026년 여성기업 육성사업 공고,2026-02-04,2026-12-31,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118204
13,광주광역시,직접수행,금융,[광주] 2026년 식품진흥기금 융자지원계획 공고,2026-02-02,2026-12-31,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118203
14,제주특별자치도,직접수행,경영,[제주] 2026년 수산물 산지가공시설사업 지원 계획 공고,2026-01-29,2026-02-20,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118202
15,제주특별자치도,직접수행,인력,[제주] 2026년 1차 (예비)사회적기업 일자리창출사업 참여기업 모집 공고,2026-02-02,2026-02-13,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118201
16,제주특별자치도,직접수행,경영,[제주] 2026년 전복 및 해삼 사료 구입 지원사업 공고,2026-01-30,2026-02-13,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118200
17,전북특별자치도,전북특별자치도수산기술연구소,경영,[전북] 2026년 수산업경영인 선발 및 지원사업 희망자 모집 공고,2026-02-02,2026-02-27,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118199
18,전북특별자치도,전북지식재산센터,수출,[전북] 2026년 1차 지식재산 긴급지원사업 모집 공고,2026-02-02,2026-02-27,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118198
19,울산광역시,울산창조경제혁신센터,경영,2026년 1차 포텐셜 씨드(Potential Seed) 경작형 프로그램 참여기업 모집 공고,2026-02-03,2026-02-20,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118197
20,산업통상부,대한무역투자진흥공사,수출,국내기업 글로벌 성장자본 유치지원 Invest KOREA Market Place(IKMP) 참가기업 모집 공고,2026-02-02,2026-02-27,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118196
21,경상북도,경북지식재산센터,수출,[경북] 2026년 글로벌 IP 스타기업 육성 사업 모집 공고,2026-01-12,2026-02-19,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118195
22,산업통상부,대한무역투자진흥공사,수출,2026년 일본 도쿄 유통망 입점지원 사업(LINE GIFT) 참가기업 모집 공고,2026-02-03,2026-02-24,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118194
23,전북특별자치도,직접수행,내수,[전북] 2026년 친환경 유기농 박람회 참가 지원사업 대상자 모집 공고,2026-02-02,2026-02-19,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118193
24,제주특별자치도,직접수행,경영,[제주] 2026년 어류종자 생산 등 초기먹이생물 지원사업 사업대상자 모집 공고,2026-01-30,2026-02-13,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118192
25,인천광역시,직접수행,금융,[인천] 2026년 식품진흥기금 융자사업 공고,2026-02-02,2026-12-31,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118191
26,경상남도,한국농어촌공사,경영,[경남] 밀양시 청년농업인 분양 스마트농업단지 조성사업 시행 공고,2026-02-02,2026-02-20,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118190
27,전라남도,한국무역협회광주전남지역본부,수출,[전남] 2026년 해외박람회 개별 참가 지원사업 모집 공고 ,2026-01-30,2026-12-31,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118189
28,충청북도,중소기업중앙회충북지역본부,내수,[충북] 2026년 중소기업 TV홈쇼핑 지원 사업 신청 공고,2026-02-02,2026-02-25,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118188
29,전라남도,전라남도해양수산과학원,경영,[전남] 2026년 수산업경영인 선발 및 지원사업 사업자 모집 공고,2026-02-02,2026-02-27,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118186
30,충청남도,충청남도수산자원연구소,금융,[충남] 2026년 수산업경영인 선발 및 지원사업 모집 공고,2026-02-02,2026-02-27,2026-02-04,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118185
