번호,소관부처,사업수행기관,지원분야,공고명,신청시작일자,신청종료일자,등록일자,공고상세URL,신청기간,지원대상,사업개요,해시태그,지원분야중분류,조회수
1,부산광역시,기초자치단체,경영,[부산] 동래구 2026년 청년기업 인증 및 지원 계획 공고,,,2026-08-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125943,상시 접수,중소기업,"「부산광역시동래구 청년기업 육성 및 지원에 관한 조례」 제6조에 따라 동래구 청년의 경제활동을 촉진하고 지역경제 활성화에 기여하고자 2026년 동래구 청년기업 인증 및 지원 계획을 다음과 같이 공고합니다. ☞ 동래구에 소재하며 18~39세 이하의 청년이 대표로서 1년 이상 사업을 운영하고 있는 기업 - 「중소기업기본법」 제2조제1항제1호에 따른 기업 ☞ 청년기업 3년간 인증, 인증 청년기업 제품ㆍ서비스 우선 구매ㆍ이용(권고), 구 주요행사 우선 참여권 제공, 구청 홈페이지 '청년기업 인증 현황' 게시 지원","경영,부산,2026,부산광역시,기초자치단체,청년기업,청년기업인증,청년대표,인센티브,동래구",디자인/상품화/사업화,1281
2,부산광역시,기초자치단체,경영,[부산] 중구 2026년 하반기 착한가격업소 지정 신청 공고,2026-08-27,2026-09-10,2026-08-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125942,,중소기업,"2026년 하반기 착한가격업소 지정 계획에 따라 다음과 같이 공고합니다. ☞ 자영업자, 개인사업자, 법인으로서 서민생활과 밀접한 개인서비스요금에 해당하는 업종에 대해 시민에게 직접 소매단위로 물품ㆍ서비스 등의 판매행위를 하는 업소 ☞ 착한가격업소 지정, 인증 표찰 부착 및 인센티브(물품, 홍보 등) 지원","경영,부산,자엉엽자,2026,표찰,착한가격업소,중구,개인사업자,지정,인센티브,홍보,부산광역시,기초자치단체,인증",디자인/상품화/사업화,1211
3,대구광역시,기초자치단체,창업,[대구] 동구 청년 창업기업 사무실 임차료 지원사업 참여자 추가모집 공고,2026-08-25,2026-09-09,2026-08-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125941,,창업벤처,대구광역시 동구에서는 청년 창업자의 사업장 임차료 부담을 경감하여 안정적인 창업 환경을 제공하고자 「2026년 청년 창업기업 사무실 임차료 지원사업」 참여자를 다음과 같이 추가 모집합니다. ☞ (′26. 2. 25. 기준) 청년 창업자로 아래 조건을 모두 충족하는 자 - (주소지) (′26. 5. 31. 주민등록 기준) 대구광역시 동구 - 19 ~ 39세의 청년(1987. 1. 1. ~ 2007. 12. 31. 출생자 해당) - (′26. 2. 25. 기준) 동구에 사업자 등록(7년 미만) 후 현재까지 영업중 (※ 2019. 2. ,"창업,대구,2026,임차료,동구,대구광역시,기초자치단체,창업기업,청년창업자,사무실임차료,청년창업기업,청년",창업공간지원,1282
4,인천광역시,직접수행,기타,[인천] 2026년 어르신일자리 창출 우수기업ㆍ기관 인증 공고,2026-08-24,2026-09-18,2026-08-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125940,,중소기업,"인천광역시에서는 어려운 경제 여건 속에서도 어르신일자리 고용 증대에 기여하거나 어르신 친화적 환경 조성 등에 모범이 되는 기업·기관을 발굴하고 지역내 어르신일자리 창출 분위기를 확산하고자 「2026년 어르신일자리 창출 우수기업ㆍ기관 인증」을 공모하오니 많은 관심과 참여 바랍니다. ☞ 인천시 관내 소재 1년 이상 정상 가동 중인 기업ㆍ기관 - 근로자 수가 10인 이상으로 어르신 고용 10%이상(최소 2명 이상)인 기업 ☞ 우수기업ㆍ기관 인증서 및 인증패 수여 및 가점 부여, 자율평점 부여, 이자차액 보전, 홍보 등 지원","인력,기타,인천,어르신일자리창출우수기업,이자차액보전,가점,인증패,홍보,인증,인천광역시,직접수행,2026,어르신고용",제도,1197
5,과학기술정보통신부,한국전파진흥협회,내수,2026년 산업전파대전(KRS) 방송장비기업 전시참가사 모집 공고,2026-08-20,2026-09-18,2026-08-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125939,,중소기업,"안녕하세요, 한국전파진흥협회 방송미디어장비산업센터입니다. 과학기술정보통신부와 한국전파진흥협회는 방송, 통신, 에너지, 위성, 국방의 초융합 산업의 미래를 한 눈에 볼 수 있는 2026 대한민국산업전파대전(KRS) 전시회에서 방송 장비기업들의 전시 참가를 독려하며, 부스 참여를 지원하고 있습니다. 관심있는 기업들의 많은 신청과 참여 부탁드립니다. ☞ 방송 장비, 솔루션, 서비스 관련 국내 중소, 중견기업 ☞ 전시 면적 및 조립부스 공사 지원","내수,서울,부산,대구,인천,전남광주,대전,울산,세종,경기,강원,충북,충남,전북,경북,경남,제주,솔르션,2026,전파,방송장비,통신,위성,방송,서비스,에너지,과학기술정보통신부,한국전파진흥협회,중견기업,중소기업",오프라인,1223
6,전남광주통합특별시,직접수행,기술,[전남광주] 2026년 2차 절임연수 재활용 설비 구축 지원사업 대상자 모집 공고,2026-08-26,2026-09-09,2026-08-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125938,,중소기업,전남산 김치의 가격경쟁력 제고로 안정적인 판로 확보를 위해 2026년 절임염수 재활용 설비 구축 지원사업대상자를 다음과 같이 공모하니 많은 관심과 참여 바랍니다. ☞ 구 전남도 내 김치 또는 절임배추 제조업체 - 공고일 이전 구 전남도 내에서 「식품위생법」에 따라 등록한 김치제조업체 및 절임배추제조업체로 「중소기업기업기본법」제2조에 따른 중소기업 이하 규모인 업체 - 법인은 총 출자금이 5천만 원 이상이고 1년 이상 운영실적이 있는 법인 - 개인 농식품 제조ㆍ가공업체의 경우 1년 이상 운영실적이 있는 업체 ☞ 절임염수 재활용을 위한,"기술,전남광주,전남광주통합특별시,2026,직접수행,설비,절임염수,재활용,절임염수재활용,김치,절임배추,제조업체,중소기업",기술인력/장비지원,1214
7,부산광역시,한국수산무역협회,수출,[부산] 국제수산교류협력지원사업(해외바이어초청지원) 참가업체 모집 공고,2026-08-27,2026-09-06,2026-08-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125937,,중소기업,"우리협회는 부산광역시로부터 국제수산교류협력지원사업 (해외바이어초청) 보조사업자로 선정되었습니다. 아래 모집내용을 참고하시어 관심업체에서는 신청서를 접수하시기 바랍니다. ☞ BISFE 참가하는 부산소재 수산물수출기업 ☞ 해외바이어초청(1인) 항공료, BISFE기간 3박 숙박 등 지원","수출,부산,DISFE,수산물수출기업,국제수산,2026,바이어초청,한국수산무역협회,숙박,항공료,부산광역시",해외진출,1205
8,전남광주통합특별시,직접수행,경영,[전남광주] 2026년 3차 양파 가공식품 경쟁력 강화 사업대상자 모집 공고,2026-08-26,2026-09-09,2026-08-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125936,,중소기업,"양파 가공식품 소비촉진 홍보ㆍ마케팅 지원을 통해 양파 가공식품의 시장 경쟁력을 강화하고 농식품 기업 육성 및 소득 향상을 위해 “2026년 양파 가공식품 경쟁력강화 사업” 대상자를 아래와 같이 공모하니, 양파 가공식품 제조ㆍ가공업체(법인, 개인업체)의 많은 관심과 참여 바랍니다. ☞ 구 전남도 내 양파 가공업체 - 공고일 이전 구 전남도 내에서 식품제조ㆍ가공업 영업등록증을 받은 법인 또는 개인 - 법인의 경우 총 출자금 5천만원 이상, 1년 이상 운영실적 있는 업체 - 개인의 경우 1년 이상 운영실적 있는 업체 ☞ 브랜드(포장재 제","내수,경영,전남광주,양파가공식품,양파가공업체,전남광주통합특별시,2026,양파,포장재제작,브랜드,홍보물제작,홍보,직접수행,마케팅",디자인/상품화/사업화,1182
9,방위사업청,국방기술진흥연구소,기술,2026년 5차 무기체계 부품국산화개발 지원사업 (상생협력부품국산화) 과제ㆍ연구개발기관 모집 공고,2026-08-26,2026-09-29,2026-08-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125935,,중소기업,"국방 분야 중소기업 육성과 무기체계 부품개발 활성화를 위해 정부가 개발자금을 지원하고 구매를 보장하는「무기체계 부품국산화개발 지원사업」의 과제 및 연구개발기관을 모집하오니, 관련 기관의 많은 참여를 바랍니다. ☞「중소기업기본법」제2조 및 동법 시행령 제3조에 따른 중소기업 ☞ 핵심부품국산화, 수출연계부품국산화, 전략부품국산화, 상생협력부품국산화 기술개발 지원","기술,서울,부산,대구,인천,전남광주,대전,울산,세종,경기,강원,충북,충남,전북,경북,경남,제주,전략부품,2026,수출연계,무기체계,부품국산화,핵심부품,방위사업청,국방기술진흥연구소,상생협력",공동기술개발,1258
10,과학기술정보통신부,한국인터넷진흥원,수출,싱가포르 현지 진출 지원 국내 블록체인 기업 모집 공고,2026-08-27,2026-09-16,2026-08-28,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000125934,,중소기업,"한국인터넷진흥원은 국내 블록체인 기업의 해외진출 지원 사업을 통해 2026년 싱가포르 현지 진출을 지원합니다. 본 사업에 참여할 국내 블록체인 기업을 아래와 같이 모집하오니 많은 참여 바랍니다. ☞ 블록체인 기술 보유 및 해외 진출 역량이 있는 블록체인 중소기업 또는 스타트업(업력 10년 이내) ☞ IR 컨설팅, 교육, 전시 임차비, 체재비 일부 지원 등 ※ 자세한 지원내용 공고문 참조","수출,서울,부산,대구,인천,전남광주,대전,울산,세종,경기,강원,충북,충남,전북,경북,경남,제주,전시임차비,10년이내,2026,체재비,IR컨설팅,싱가포르,블록체인,한국인터넷진흥원,과학기술정보통신부,스타트업,교육,중소기업",시장개척,1264
